ImageSceneContainerName::Image Scene Container Name ;ImageSceneRow::Image Scene Row Index!!I;ImageSceneColumn::Image Scene Column Index!!I;ID::ID!!I;Index::Index!!I;IntensityMean_mCher::Intensity Mean Value of channel 'mCher'!!R;Area::Area!!R;Perimeter::Perimeter!!R;Roundness::Roundness!!R;FeretRatio::Feret Ratio!!R
;;;;;"Gray";"µm²";"µm";;
"D7";4;7;16;15;3848,2395833333;82,360620244152;37,181307822606;0,4989056158469;0,57499097733846
"D7";4;7;17;16;4744,9315068493;125,25677662131;46,57537370239;0,50936998823662;0,59062501558443
"D6";4;6;2;1;4470,2421052632;163,00539423322;47,660533000335;0,74435624059423;0,82368821820193
"D6";4;6;3;2;5034,4584103512;464,1364120009;82,12894257808;0,74712665152846;0,80407896449633
"D6";4;6;4;3;3659,4705882353;72,923465841176;33,47634223023;0,5578632245998;0,57436680358123
"D6";4;6;5;4;5073,5092421442;928,27282400179;131,54886642417;0,46093107752982;0,48117671025871
"D6";4;6;6;5;3995,754601227;139,84146978955;46,668465652819;0,61041203855221;0,74978625281787
"D6";4;6;7;6;4984,755;343,1692510173;70,882393902108;0,75339947765734;0,76923245255038
"D6";4;6;8;7;4999,6764705882;816,74281742117;107,97060977429;0,82744532296856;0,88679320926522
"D6";4;6;9;8;3991,200477327;359,46979044062;77,207165788916;0,53349120827878;0,57063608445428
"D6";4;6;10;9;4894,7597402597;132,12016164166;43,412987758986;0,81367691395171;0,89361139007909
"D6";4;6;11;10;4797,4382022472;152,7103167027;46,350629853118;0,7656982544758;0,86311380898835
"D6";4;6;12;11;6671,3913894325;438,3987181746;87,012159418829;0,52051530841751;0,537408888155
"D6";4;6;13;12;4566,4809160305;112,38792970817;40,568437615282;0,75472741083212;0,8428016873882
"D6";4;6;14;13;4606,0261780105;163,86331736076;48,427856498578;0,74827390501841;0,82368821820193
"D6";4;6;15;14;3994,243902439;175,87424114637;51,590242441983;0,58659181825891;0,67042624717561
"D6";4;6;16;15;4034,0958083832;143,27316229972;46,350629853118;0,67076752327727;0,75835063381213
"D5";4;5;2;1;4358,936;428,96156377162;80,05171593262;0,70347411389306;0,79707421371814
"D5";4;5;3;2;4144,3406374502;430,67741002671;82,989358026752;0,60306001810176;0,60756353277167
"D5";4;5;4;3;6102,2699914016;997,7645973328;120,3023177482;0,78898515522132;0,8240369686198
"D5";4;5;5;4;3520,7663043478;157,85785546796;48,65260034785;0,72085025404915;0,75164739872
"D5";4;5;6;5;5186,7495769882;507,03256837806;83,214101876024;0,90442956042596;0,93605709322615
"D5";4;5;7;6;4740,6020455602;1845,3926473455;181,92229766937;0,55431955729634;0,60951088987729
"D5";4;5;8;7;4100,52;42,896156377162;24,756507898261;0,74897182644443;0,86772611120396
"E5";5;5;2;1;4766,1630434783;78,928927733979;34,243665728474;0,63318858722039;0,66169838650295
