RegionsCount::Count!!I;ImageSceneContainerName::Image Scene Container Name ;ImageSceneColumn::Image Scene Column Index!!I;ImageSceneRow::Image Scene Row Index!!I;ImageIndexPosition::Image Index Position!!I;RegionsIntensityMean_DAPI::Intensity Mean Value of channel 'DAPI'!!R;RegionsMeanArea::Mean Area!!R
"#";;;;;"Gray";"µm²"
207;"D3";3;4;1;38,322633456119;544,95875524638
215;"D3";3;4;1;75,563445834843;550,37381923721
233;"D3";3;4;1;67,770175210902;545,27855107296
215;"D3";3;4;1;70,406462091769;528,85339147907
212;"D3";3;4;1;101,82054169554;538,73277826415
204;"D3";3;4;1;67,189607043161;526,99415560784
176;"D3";3;4;1;87,928276350474;476,25912472727
179;"D3";3;4;1;60,628521243455;555,9190332067
198;"D3";3;4;1;75,704476752555;462,8324370101
170;"D4";4;4;1;64,706167883212;531,53679058824
212;"D4";4;4;1;83,372254938934;536,22827441509
257;"D4";4;4;1;82,499899623029;575,27697407004
219;"D4";4;4;1;54,691842900302;553,27181413699
235;"D4";4;4;1;75,748455126351;533,67730137872
214;"D4";4;4;1;60,61625571308;529,36753016822
200;"D4";4;4;1;60,256893755069;569,27590272
181;"D4";4;4;1;91,455952424925;493,27544468508
171;"D4";4;4;1;74,10647955648;556,58552140351
202;"D5";5;4;1;64,012330960248;479,28296332673
182;"D5";5;4;1;83,67949970686;556,32293907692
152;"D5";5;4;1;54,573587354564;468,05689136842
161;"D5";5;4;1;69,383525438661;558,01362206211
202;"D5";5;4;1;67,33931298853;545,14212720792
222;"D5";5;4;1;37,386845412652;531,89069405405
222;"D5";5;4;1;79,608946766196;545,27523574775
201;"D5";5;4;1;46,947836339303;514,89212433831
197;"D5";5;4;1;53,598005898949;522,16611346193
163;"D6";6;4;1;48,006174997087;520,96008677301
196;"D6";6;4;1;79,087554534253;505,22817404082
139;"D6";6;4;1;61,576621013313;495,43761864748
199;"D6";6;4;1;66,800402581635;518,67485973869
169;"D6";6;4;1;68,558398171348;443,92263990533
208;"D6";6;4;1;72,932651292989;475,77914830769
