ParticleID	Class	Area	IsFiber	FiberLength	FeretMin	FeretMax	FeretRatio	maxMIC	Perimeter
86	B	19.693925332410224	False	0.0	4.325346864084091	5.780858398433816	1.3365074709812748	4.635114041834478	15.240194760469329
87	B	31.928030463149906	False	0.0	5.039335837061363	8.386456673315006	1.6641988040641251	4.885839195608645	22.060322516006572
90	B	14.621247595274257	False	0.0	3.001562028166894	6.254537178182042	2.0837607617263854	3.090076027889652	14.28023121083242
92	B	76.38855886510632	False	22.40347694972641	8.085276879648939	13.152653054135694	1.6267412050218841	6.37035492708905	37.37815934824036
95	B	16.113211635608366	False	0.0	3.3082371453853976	6.436506916051637	1.9456002194491433	5.8833294770691955	15.5601826103483
97	B	65.94481058276756	False	19.60480554204211	7.632586602321952	11.952989151078276	1.5660469738321723	6.180152055779304	34.795515712894165
102	B	36.10552977608541	False	0.0	5.012410067332246	9.23122415681469	1.8416737722593841	5.46253428425691	22.51285367310001
103	B	21.782674988877975	False	6.287818229120746	3.4437787224403262	8.150134036233439	2.3666253534600217	4.504521167509801	18.97024648811692
106	B	37.29910100835269	False	0.0	5.697145793094569	8.617624825407962	1.5126214315689912	5.8833294770691955	23.152829372857955
107	C	99.96159070238522	False	32.69460550191288	6.608799956897435	22.164486652767444	3.3537838635340953	6.555041141108292	50.48824163045693
109	B	79.07409413770772	False	0.0	8.51653178030546	12.097067410783058	1.4204218011324297	8.320284338380667	34.475527863015195
110	C	136.9622989026711	False	38.657697234521244	9.044823983289362	20.34805509381558	2.2496905557708304	8.532751324649304	50.035710473363494
111	B	27.452138342147585	False	12.114319602742498	2.6340219079417064	14.054710784263651	5.335836707313634	3.090076027889652	29.672379796457342
112	B	38.49267224061998	False	0.0	6.131718363869172	8.046510676748687	1.3122766244715882	6.180152055779304	22.06032251600657
113	B	28.94410238248169	False	11.756466405528812	3.285580269024635	12.598321389277809	3.8344281246301053	3.454810027001899	28.107931264571405
116	B	50.12999175522602	False	0.0	6.603589393671079	9.835292050991763	1.4893857665375088	6.909620054003798	26.242905400747603
118	C	62.96088250209935	False	23.570948039022166	5.420744224685189	19.258226473092083	3.552690493197087	4.635114041834478	44.592586707047694
120	B	7.758213009737361	False	2.681139260768444	1.8770372070741144	5.618139195580285	2.9930888819927657	3.090076027889652	11.529553550762854
125	D	1083.1658932825624	False	293.62539006127736	32.617293967186015	44.60376651132709	1.367488258106262	29.355722264951694	160.22752058249634
128	B	16.113211635608366	False	0.0	3.961835236962504	5.169520270043984	1.3048296965543167	4.885839195608645	13.375168896645535
129	B	43.86374278582277	False	13.841050078027656	5.243066997406791	12.085496616419812	2.3050433310116527	4.635114041834478	28.880450271543815
133	B	21.18588937274433	False	0.0	4.851498412667707	5.57577516354169	1.1492892894662872	4.635114041834478	16.145257074656218
135	B	37.00070820028587	False	0.0	5.790740348606159	8.509505108643483	1.4695021010036713	5.8833294770691955	23.152829372857948
142	B	77.28373728930679	False	0.0	8.92267242310087	11.162831968737484	1.251063744068069	8.80807187171935	32.47795869197693
144	B	27.750531150214403	False	10.87119141390749	2.8485268676274056	12.799382197050958	4.493333850037306	3.090076027889652	26.297806636197624
146	B	19.992318140477046	False	0.0	3.603251097737798	7.641158423605283	2.120628903270875	3.9390894911736543	17.877739631265534
147	B	39.98463628095409	False	12.40769838585215	4.791925190261135	11.728479409662928	2.4475506073215194	4.885839195608645	27.070325643170037
148	B	40.28302908902091	False	11.732112488040169	6.2556131104385875	9.056615449109467	1.4477582435520053	5.46253428425691	26.242905400747606
149	B	30.137673614748977	False	0.0	4.921975993374321	8.138844564870329	1.6535725846339702	8.80807187171935	20.70272904472624
153	B	27.153745534080763	False	0.0	5.05381351150481	6.952668649128307	1.3757271876575634	4.885839195608645	18.65025863823795
154	B	136.36551328653746	False	0.0	12.362726966720372	14.40133140897475	1.1648992530322932	11.613507189742613	44.38573164644209
155	B	29.540887998615336	False	9.684118987493083	5.084912396349839	8.37722293653407	1.647466521261524	3.9390894911736543	23.605360529951398
158	B	21.18588937274433	False	9.291052896517524	3.022632521504186	11.522015553987282	3.811914108650381	2.4429195978043223	24.377879536923814
160	B	37.00070820028587	False	0.0	5.5570549932369335	8.902124529960194	1.6019500510242004	5.46253428425691	23.152829372857955
161	C	171.5758646384224	False	46.37973634396518	12.443187374987291	18.97573700076718	1.5249900551133153	11.40610644861489	54.21829335810453
