,type,feretmax,fiberlength,feretmin,maxcircle,diamfilled,maxwidth,feretratio,formcircle,areafilled,areaconv,radius,perimfilled,perimconv,perimcrotfilled,densmax,densmean,densmin,densstd,denssum,rectheight,rectwidth,boundleft,boundtop,boundwidth,boundheight,imgname
31,Metallic,103.745020458499,125.926583733182,69.9616533372764,61.4754098360656,80.7656676455193,69.7087236533958,0.674361555167493,0.6450833731488389,5123.2253170265,5738.46156490229,40.3828338227596,333.221615099022,283.076799651185,315.913900795179,255.0,69.379711849456,13.0,54.1245371522002,1179802.0,70.2147512108267,103.745020458499,6891.28366510539,2741.14461358314,70.8064988290398,99.3486533957845,ShiftImage__
32,Metallic,97.5998909579451,120.332146225678,38.3137719389438,27.4443793911007,53.7804141501657,35.6776932084309,0.39255957729966,0.40970850163786,2271.63298385062,2892.80218027175,26.8902070750829,278.420337782589,232.558988184771,263.95903201979,255.0,91.8395225464191,15.0,76.0347922440923,692470.0,41.8742342025819,97.5998909579451,8788.23916861827,9092.32289227166,47.2043325526932,96.6042154566745,ShiftImage__
33,Non-metallic,96.8113825306709,117.639910421855,42.4417985402455,35.1288056206089,56.680135162432,41.7154566744731,0.43839678177098207,0.45587782855703707,2523.19976654495,3232.05927449061,28.340067581216,278.176823357514,230.977750129822,263.728165868138,151.0,33.6359727696166,15.0,14.6723458042249,281634.0,51.4464265767111,96.8113825306709,7566.41539812646,8196.53834894613,57.6331967213115,92.7620023419204,ShiftImage__
34,Non-metallic,94.6333769426075,156.859395076203,46.6988106781361,31.8354800936768,54.55585234513,47.7532201405152,0.493470825905934,0.276947310638957,2337.61277476087,3005.07606132518,27.277926172565,343.523989562046,223.674917121065,325.68116425166,255.0,53.8465901766147,27.0,16.3726483049944,417688.0,47.9295412709361,94.6333769426075,12265.4420374707,6693.13524590164,57.0843091334895,83.4309133489461,ShiftImage__
35,Non-metallic,94.3852861494746,163.793198372458,69.9121041820059,48.3021077283372,68.5470527641162,81.2353629976581,0.740709776217541,0.38239675198982204,3690.34912721303,4833.67395977626,34.2637317469533,367.321197037525,262.609127677953,348.242331657853,152.0,47.7892973856209,18.0,17.8746031492066,584941.0,82.1350610932235,94.3852861494746,7367.71809133489,11537.6170960187,80.686475409836,91.1153395784543,ShiftImage__
36,Non-metallic,93.9620066329688,96.696106698844,11.6311308717035,7.6844262295082,28.4902526820808,9.87997658079625,0.12378546700409099,0.208859096172577,637.503367881686,851.244601398314,14.2451263410404,206.577922515578,193.448976630454,195.84815138918,99.0,63.5330812854442,49.0,6.75414471609433,134436.0,13.5157821421538,93.9620066329688,4526.12704918033,5401.05386416862,72.4531615925059,59.2798594847775,ShiftImage__
37,Metallic,93.0086679698319,105.013884911671,26.780427346607,18.6621779859485,42.8205673992689,23.0532786885246,0.28793474770860494,0.378356518260581,1440.10685183103,1757.54692494613,21.3901180781545,230.683275384054,199.572656668375,218.70145894686,255.0,56.8096835045064,12.0,37.8622285806874,271039.0,29.5195432792312,93.0086679698319,9527.0418618267,844.73799765808,58.7309718969555,72.4531615925059,ShiftImage__
38,Non-metallic,92.1083519338779,144.80965682926,49.310135846887,34.0310304449649,60.4306051883621,43.3621194379391,0.535349236107116,0.381139680341704,2868.16260029946,3819.61738314685,30.2057794644827,324.361397214217,240.929145928992,307.513887509569,73.0,56.9561375828337,33.0,8.13292009866281,541482.0,60.902739967296,92.1083519338779,2879.46428571429,7636.12412177986,79.03981264637,80.686475409836,ShiftImage__
39,Non-metallic,90.5795145948762,130.472563293331,49.5571542714178,37.3243559718969,62.4994709694123,47.7532201405152,0.547112164301895,0.452227118638741,3067.9096385346,3658.9608928234,31.2497354847061,307.972786059209,233.431601905834,291.976509848594,79.0,27.4847770575525,10.0,16.3486347150504,279850.0,52.6520839009655,90.5795145948762,4376.28073770492,6504.86680327869,81.7842505854801,71.3553864168618,ShiftImage__
40,Metallic,88.946454840311,179.056084410578,52.3439640626773,21.9555035128806,47.5492351068056,38.971018735363,0.588488480588152,0.18325000604666503,1775.73008047952,3199.59398762453,23.7463648784748,368.074590810595,227.21208297528,348.956593743206,255.0,94.041156462585,18.0,66.5706673267022,552962.0,59.2186465489025,88.946454840311,4329.62529274005,9721.34806791569,53.2420960187354,86.1753512880562,ShiftImage__
41,Non-metallic,88.5032947707049,97.3415910359735,28.833915441665,23.0532786885246,43.8998751101295,25.7977166276347,0.325794825112083,0.41512167028519503,1513.61858234291,1936.62105602436,21.9499375550647,225.782295333483,198.24818783748,214.055038500709,82.0,36.7846337579618,13.0,15.6146046548828,184806.0,32.04754907788,88.5032947707049,6185.41422716627,7103.7031615925,64.7687353629976,64.7687353629976,ShiftImage__
42,Non-metallic,88.2616207510301,177.307274436123,41.2793980500914,21.9555035128806,45.9700372379914,25.2488290398126,0.467693632847883,0.18170155667766696,1659.73821061447,2666.75801706206,22.9411679870973,357.363203977076,209.175292599983,338.801562244131,97.0,52.8561256162133,19.0,14.1855941128074,289493.0,41.6804678378439,88.2616207510301,3859.22862997658,7639.41744730679,71.3553864168618,59.2798594847775,ShiftImage__
43,Non-metallic,87.3464572761444,122.050946126865,47.2743507777378,37.3243559718969,53.7483075022607,44.4598946135831,0.5412280274663079,0.400935879867884,2268.92148559403,2926.950707156,26.8741537511304,281.281800441179,214.455011677185,266.671868731137,160.0,69.8839463550657,21.0,19.8997906768751,526296.0,51.7421230930838,87.3464572761444,11257.6844262295,10825.1610070258,47.7532201405152,85.6264637002342,ShiftImage__
